Part Type,FG Assembly
Part Number,91.B0301.003G
Revision,A
Sequence,4
Description,SV320 E2620*2/3TB*2/16G*12/9260-4IWB/10G
Material Type,FERT-Finished Goods for shipment
Profit Center,PCY110-Infrastructure Service Business
General Description,SERVER SV320 E2620*2/3TB*2/16G*12/9260-4IWB/10G
Contract Information,
CMS3 Bonded Flag,0: Unknown 
M/P Code,Manufacture
Material Category,S-
Material Category First Digit Description,"System, F-"
Material Category Second Digit Description,"System, F-"
Model Name,TEATREE
Project Code,91.B0301.001
Material or Process Change?,NO
Green Factor,N/A;
RoHS Exemptions,
,RoHS Exemptions Detail
Life Cycle State,Released
Part Dispatched Destination,136(WZS-2); 600(WHQ Hub Plant); 900(WYHQ);
PPID Identifier,NO
Equivalent Part Number,
Customer Item Description,
Serialization Indicator,0
(Only for Astro Server sCTO),
GLiS Entitlement,0
(Only for Astro Server sCTO),
Royalty,
Is Frozen?,YES
Customer Brand Name,GENERIC
CKD Mode Shipping?,NO
Phantom Part?,NO
Customer Model Name,
Shipping PRD Flag,
(Only for Rama Finish Goods),
Custom Service Indicator 1,Z-Null
Custom Service Indicator 2,Z-Null
Custom Service Indicator 3,Z-Null
Custom Service Indicator 4,Z-Null
Custom Service Indicator 5,Z-Null
Custom Service Indicator 6,Z-Null
Custom Service Indicator 7,Z-Null
Custom Service Indicator 8,Z-Null
Custom Service Indicator 9,Z-Null
Custom Service Indicator 10,Z-Null
Custom Service Indicator 11,Z-Null
Custom Service Indicator 12,Z-Null
FCC ID,
User/Vault/External System,<Desktop_WIP_Vault>
Creator,Fiper Chou
Creation Date,2013-04-10-10:35:55
Modified By,Julia Yu
Last Modified Date,2013-04-15-16:53:10
Origional Applied Date,2013-02-19-10:59:04
,
Part Type,FG Assembly
Part Number,91.B0310.001G
Revision,A
Sequence,3
Description,"TEATREE MAIN BOARD W/O CPU,DIMM-1"
Material Type,FERT-Finished Goods for shipment
Profit Center,PCY110-Infrastructure Service Business
General Description,"MAIN BOARD TEATREE MAIN BOARD W/O CPU,DIMM-1"
Contract Information,
CMS3 Bonded Flag,0: Unknown 
M/P Code,Manufacture
Material Category,BM
Material Category First Digit Description,Main board or main board with small board
Material Category Second Digit Description,Main Board
Model Name,TEATREE
Project Code,91.B0301.001
Material or Process Change?,NO
Green Factor,N/A;
RoHS Exemptions,
,RoHS Exemptions Detail
Life Cycle State,Released
Part Dispatched Destination,136(WZS-2); 900(WYHQ);
PPID Identifier,NO
Equivalent Part Number,
Customer Item Description,
Serialization Indicator,0
(Only for Astro Server sCTO),
GLiS Entitlement,0
(Only for Astro Server sCTO),
Royalty,
Is Frozen?,YES
Customer Brand Name,GENERIC
CKD Mode Shipping?,NO
Phantom Part?,NO
Customer Model Name,
Shipping PRD Flag,
(Only for Rama Finish Goods),
Custom Service Indicator 1,Z-Null
Custom Service Indicator 2,Z-Null
Custom Service Indicator 3,Z-Null
Custom Service Indicator 4,Z-Null
Custom Service Indicator 5,Z-Null
Custom Service Indicator 6,Z-Null
Custom Service Indicator 7,Z-Null
Custom Service Indicator 8,Z-Null
Custom Service Indicator 9,Z-Null
Custom Service Indicator 10,Z-Null
Custom Service Indicator 11,Z-Null
Custom Service Indicator 12,Z-Null
FCC ID,
User/Vault/External System,<Desktop_WIP_Vault>
